"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1854","should persist session when navigating between pages @regression","firefox","2026-03-25","passed","2026-03-25","Authentication > Session & Logout","Authentication","",""
"","1240","should update cart badge when a single item is added @smoke @regression","firefox","2026-03-25","passed","2026-03-25","Shopping Cart > Add to Cart","Shopping Cart","",""
"","1653","should sort products by Name A→Z @smoke @regression","firefox","2026-03-25","passed","2026-03-25","Product Catalog > Sorting","Product Catalog","",""
"","1094","should remove an item from the cart and update badge @smoke @regression","chromium","2026-03-25","passed","2026-03-25","Shopping Cart > Remove from Cart","Shopping Cart","",""
"","1025","should display prices for all products @regression","chromium","2026-03-25","passed","2026-03-25","Product Catalog > Product Listing","Product Catalog","",""
"","1254","should login successfully and display inventory @smoke @regression","firefox","2026-03-25","passed","2026-03-25","Performance & Resilience > error_user Failure States","Performance & Resilience","",""
"","1448","should complete a full purchase with multiple items @regression @e2e","chromium","2026-03-25","passed","2026-03-25","Checkout Flow > Successful Purchase","Checkout Flow","",""
"","1312","should display inventory title after login @regression","chromium","2026-03-25","passed","2026-03-25","Authentication > Successful Login","Authentication","",""
"","998","should confirm standard_user sees unique product images @regression","chromium","2026-03-25","passed","2026-03-25","Product Catalog > problem_user Visual Regression","Product Catalog","",""
"","2056","should remove an item from the cart and update badge @smoke @regression","webkit","2026-03-25","passed","2026-03-25","Shopping Cart > Remove from Cart","Shopping Cart","",""
"","1764","should fail to remove item from cart — documents known defect @regression","webkit","2026-03-25","passed","2026-03-25","Performance & Resilience > error_user Failure States","Performance & Resilience","",""
"","864","should show the added item in the cart with correct name and price @regression","chromium","2026-03-25","passed","2026-03-25","Shopping Cart > Add to Cart","Shopping Cart","",""
"","988","should display product images with non-empty src attributes (standard_user) @regression","chromium","2026-03-25","passed","2026-03-25","Product Catalog > Product Listing","Product Catalog","",""
"","1406","should show the added item in the cart with correct name and price @regression","firefox","2026-03-25","passed","2026-03-25","Shopping Cart > Add to Cart","Shopping Cart","",""
"","931","should fail to remove item from cart — documents known defect @regression","chromium","2026-03-25","passed","2026-03-25","Performance & Resilience > error_user Failure States","Performance & Resilience","",""
"","962","should redirect unauthenticated user to login when accessing inventory directly @regression","firefox","2026-03-25","passed","2026-03-25","Authentication > Session & Logout","Authentication","",""
